"Dataset","File","Rows","Cols","Target","Positive_Class","Model","K","Accuracy_Mean","Accuracy_SD","Precision_Mean","Precision_SD","Recall_Mean","Recall_SD","F1_Mean","F1_SD"
"impute","outputs/cleaned_data_impute.csv",2209,24,"IsAds","ads","Logistic",10,0.976009761303879,0.00955234849401458,0.976344537815126,0.0332054848258069,0.874285714285714,0.0549745379828937,0.921347833168574,0.0331317740067944
"impute","outputs/cleaned_data_impute.csv",2209,24,"IsAds","ads","RandomForest",10,0.978726750197338,0.0124494988386298,0.98118425635667,0.0265240456726425,0.88547619047619,0.0637067028948224,0.930038526406813,0.0432239557453223
"drop","outputs/cleaned_data_drop.csv",2035,24,"IsAds","ads","Logistic",10,0.991164279000078,0.00601309046626479,0.979106719367589,0.0394281105513911,0.942292490118577,0.0548301747729898,0.958807128327168,0.0283331797630748
"drop","outputs/cleaned_data_drop.csv",2035,24,"IsAds","ads","RandomForest",10,0.995088333062409,0.0040156404503307,0.98731884057971,0.0283366381803142,0.968774703557312,0.0304002564687,0.97744683582904,0.018351990439043
