"Dataset","File","Rows","Cols","Target","Positive_Class","Logistic_Accuracy","Logistic_Precision","Logistic_Recall","Logistic_F1","Logistic_Specificity","Logistic_Balanced_Accuracy","RF_Accuracy","RF_Precision","RF_Recall","RF_F1","RF_Specificity","RF_Balanced_Accuracy"
"impute","outputs/cleaned_data_impute.csv",2209,24,"IsAds","ads",0.981900452488688,0.99009900990099,0.900900900900901,0.943396226415094,0.998188405797101,0.949544653349001,0.984917043740573,0.990291262135922,0.918918918918919,0.953271028037383,0.998188405797101,0.95855366235801
"drop","outputs/cleaned_data_drop.csv",2035,24,"IsAds","ads",0.993453355155483,1,0.942028985507246,0.970149253731343,1,0.971014492753623,0.996726677577741,0.985507246376812,0.985507246376812,0.985507246376812,0.998154981549816,0.991831113963314
